timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1494949268202,128,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,1215,0
1494949269545,425,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,857,0
1494949270828,260,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,895,0
1494949271984,257,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,878,0
1494949273120,62,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,893,0
1494949274076,476,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,872,0
1494949275425,345,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,859,0
1494949276630,456,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,869,0
1494949277956,182,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,853,0
1494949278993,458,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,865,0
1494949280317,399,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,885,0
1494949281602,154,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,864,0
1494949282621,351,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,860,0
1494949283833,90,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,867,0
1494949284790,269,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,875,0
1494949285935,395,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,880,0
1494949287210,415,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,872,0
1494949288498,309,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,873,0
1494949289681,322,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949290867,196,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,882,0
1494949291946,127,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,878,0
1494949292955,220,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,886,0
1494949294062,338,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,888,0
1494949295289,472,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,879,0
1494949296641,393,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,866,0
1494949297901,195,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,871,0
1494949298968,348,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,858,0
1494949300176,432,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,874,0
1494949301483,228,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,877,0
1494949302605,144,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,865,0
1494949303615,227,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,860,0
1494949304703,446,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,874,0
1494949306024,332,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,877,0
1494949307245,62,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,863,0
1494949308171,220,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,887,0
1494949309278,363,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,870,0
1494949310512,303,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,878,0
1494949311694,453,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,549,0,1,1,0,1,0,870,0
